bikeStationID,name,latitude,longitude,category,rating,numReviews
1,Yolks,49.2631139,-123.1163529,"Coffee & Tea,Breakfast & Brunch",3.5,346
1,Aperture Coffee Bar,49.2632037459,-123.110469593,"Coffee & Tea,Breakfast & Brunch,Art Galleries",4.0,124
1,Caffe Cittadella,49.264809386635505,-123.11726668221056,"Coffee & Tea,Bistros",4.0,157
1,The Golden Horn Turkish Bakery & Cafe,49.25981092848732,-123.11528339982031,"Coffee & Tea,Bakeries,Cafes",5.0,10
1,Foret Noire Patisserie,49.26284,-123.11051,"Desserts,Patisserie/Cake Shop,Coffee & Tea",4.0,57
1,Elysian Coffee,49.26294,-123.11728,"Coffee & Tea,Bakeries",3.5,210
1,Passion8 Dessert Cafe,49.258435242883,-123.11499774456,"Desserts,Korean,Coffee & Tea",4.0,210
1,Whole Food Market,49.2640495,-123.1150513,"Coffee & Tea,Cafes,Beer, Wine & Spirits",4.0,18
1,49th Parallel Coffee,49.2591330651218,-123.10088478104,"Cafes,Coffee & Tea,Donuts",4.0,501
1,Sharetea,49.2599346,-123.1148551,"Bubble Tea,Coffee & Tea,Juice Bars & Smoothies",4.0,48
1,Blaze Gourmet Burgers,49.2666437,-123.1037431,"Fast Food,Burgers,Coffee & Tea",4.5,25
1,Milano Coffee,49.26359,-123.10872,Coffee & Tea,4.0,102
1,Gusto A Taste of Italy,49.2714006565536,-123.10593623668,"Desserts,Italian,Coffee & Tea",4.5,84
1,McDonald's,49.263406,-123.1162947,"Fast Food,Burgers,Coffee & Tea",3.5,22
1,Deja Brew,49.2636604,-123.1251297,"Coffee & Tea,Soup,Sandwiches",4.5,52
1,Blenz Coffee,49.2633781,-123.1161611,"Coffee & Tea,Sandwiches",3.0,13
1,Melo Patisserie,49.2635651,-123.1014339,"Coffee & Tea,Patisserie/Cake Shop",4.5,38
1,Cultured Coffee & Tea,49.26086,-123.11629,Coffee & Tea,3.5,16
1,JJ Bean,49.25822,-123.10078,"Coffee & Tea,Bakeries",4.0,122
1,Fife Bakery,49.268,-123.10326,"Bakeries,Coffee & Tea",4.0,61
1,K Cafe,49.2630081,-123.1200714,"Coffee & Tea,Cafes",4.5,24
1,The Mighty Oak,49.25470697013,-123.109722571412,"Grocery,Coffee & Tea",4.5,49
1,JJ Bean Coffee Roasters,49.2550248620133,-123.115302802248,"Coffee & Tea,Bakeries",4.0,41
1,JJ Bean Coffee Roasters,49.27015,-123.109227,Coffee & Tea,4.5,39
1,Blenz Coffee,49.2634411,-123.1198158,"Coffee & Tea,Sandwiches",3.5,22
1,Elysian Coffee,49.2645569,-123.1050568,Coffee & Tea,4.0,52
1,Terra Breads,49.2666353,-123.1057633,"Bakeries,Coffee & Tea",4.0,36
1,Dalina,49.2632496465408,-123.126448765397,"Coffee & Tea,Grocery,Sandwiches",4.0,22
1,On the Grind - Pedalling Epic Coffee,49.261226,-123.1139268,Coffee & Tea,5.0,4
1,Pekoe Tea Lounge,49.2635135,-123.1239133,"Bakeries,Coffee & Tea",3.5,74
1,Rocanini Coffee Roasters,49.2666872398032,-123.107811883973,Coffee & Tea,4.0,16
1,Honolulu Coffee,49.2694795,-123.1063356,Coffee & Tea,4.5,9
1,Caffè Artigiano,49.26423028055726,-123.11449449509382,"Cafes,Coffee & Tea",4.0,1
1,Starbucks,49.2630656387451,-123.11513688415288,Coffee & Tea,3.5,4
1,Cheyenne Coffee,49.261226,-123.1139268,Coffee & Tea,5.0,1
1,Gene Coffee Bar,49.26381165638432,-123.10069279450116,Coffee & Tea,3.0,95
1,Honest To Pete Roasters,49.2664036,-123.111052,"Coffee Roasteries,Coffee & Tea",5.0,1
1,Novella Coffee Bar,49.261335,-123.100649,"Breakfast & Brunch,Coffee & Tea,Cocktail Bars",4.0,7
1,The Press Room,49.2694971,-123.1092951,"Bakeries,Coffee & Tea,Cafes",4.0,12
1,Max's Bakery & Delicatessen,49.25764788605951,-123.12737510474707,"Bakeries,Coffee & Tea,Delicatessen",3.0,99
1,Starbucks,49.2694482,-123.1028549,Coffee & Tea,4.0,11
1,Bean Around the World Coffees,49.2623789,-123.1007844,Coffee & Tea,3.5,50
1,Bean Around The World Coffees,49.2622651,-123.1233547,Coffee & Tea,4.0,6
1,Starbucks,49.267332,-123.1129217,Coffee & Tea,3.0,14
1,Forecast Coffee,49.25859804273446,-123.10083769261838,"Coffee & Tea,Juice Bars & Smoothies,Cafes",3.0,25
1,WA-2!,49.28438,-123.06881,"Water Purification Services,Coffee & Tea",5.0,5
1,Tim Hortons,49.263542175293,-123.12328338623,"Coffee & Tea,Bakeries",2.5,23
1,Java Express,49.26258,-123.11872,Coffee & Tea,4.0,2
1,Caffè Artigiano,49.26307745377281,-123.10688741505146,"Bakeries,Coffee & Tea,Breakfast & Brunch",4.0,2
1,Willow Cafe Bakery,49.2571515,-123.1217817,"Coffee & Tea,Bakeries",4.0,32
4,Small Victory Bakery,49.27648024736094,-123.121204593404,"Coffee & Tea,Bakeries,Cafes",4.0,306
4,Nero Waffles,49.27834403099929,-123.122044653573,"Waffles,Coffee & Tea",4.5,491
4,Number E Food,49.277569151917,-123.131018212403,"Sandwiches,Coffee & Tea",5.0,138
4,Bake49,49.2758373,-123.1198477,"Bakeries,Coffee & Tea",4.0,77
4,Finch's Tea & Coffee House,49.2825732,-123.1113434,"Coffee & Tea,Sandwiches,Breakfast & Brunch",4.5,416
4,O-Cha Tea Bar,49.2760572,-123.121789,"Coffee & Tea,Soup,Sandwiches",4.5,32
4,Starbucks,49.2747240535528,-123.122160394856,Coffee & Tea,4.0,25
4,Black Echo Coffee,49.2749189,-123.1212809,Coffee & Tea,4.5,11
4,Incognito Coffee,49.28037,-123.11969,"Coffee & Tea,Sandwiches,Breakfast & Brunch",5.0,173
4,JJ Bean Coffee Roasters,49.27526554161309,-123.12363074232532,"Coffee & Tea,Bakeries,Coffee Roasteries",3.5,101
4,Breka Bakery & Cafe,49.2784333930687,-123.127897942266,"Coffee & Tea,Bakeries,Patisserie/Cake Shop",4.0,324
4,Revolver,49.283273,-123.1094283,Coffee & Tea,4.5,604
4,Coo Coo Coffee,49.2754918653721,-123.123349512628,Coffee & Tea,4.0,144
4,Honolulu Coffee,49.27995355525173,-123.1250129,"Coffee & Tea,Bakeries",4.5,156
4,Matchstick Coffee,49.2743486,-123.1263175,Coffee & Tea,3.5,40
4,Analog Coffee,49.2757429,-123.1211382,Coffee & Tea,5.0,4
4,Papparoti,49.2799385,-123.1081741,"Coffee & Tea,Juice Bars & Smoothies,Sandwiches",4.5,39
4,Footo Croissant,49.2782338,-123.1165056,"Bakeries,Coffee & Tea,Breakfast & Brunch",4.0,121
4,Granville Island Tea Company,49.272358,-123.134851,Coffee & Tea,4.5,140
4,AMOKA Coffee and Bites,49.2799538,-123.1302658,"Desserts,Sandwiches,Coffee & Tea",4.0,80
4,Starbucks,49.273407,-123.1201477,Coffee & Tea,3.0,21
4,Le Doux Ciel,49.2759327,-123.1141485,"Patisserie/Cake Shop,Bakeries,Coffee & Tea",4.0,22
4,Patisserie Für Elise,49.2785114,-123.1166396,"Coffee & Tea,Patisserie/Cake Shop",3.5,81
4,Caffè Artigiano,49.2830743,-123.1213145,"Coffee & Tea,Sandwiches",3.5,173
4,Faubourg,49.2830902204043,-123.121585475241,"Coffee & Tea,Macarons,Patisserie/Cake Shop",3.5,161
4,Bel Café,49.28356,-123.11893,"Coffee & Tea,Sandwiches",3.5,148
4,Elysian Coffee,49.27987725244807,-123.12770435452008,Coffee & Tea,4.0,64
4,Blue Parrot Espresso Bar,49.2729160817864,-123.134960207421,Coffee & Tea,4.0,50
4,inBtwn Cafe,49.27511,-123.13377,"Coffee & Tea,Bakeries,Sandwiches",5.0,6
4,JJ Bean Coffee Roasters,49.27015,-123.109227,Coffee & Tea,4.5,39
