bikeStationID,name,latitude,longitude,category
1,Marulilu Cafe,49.263328,-123.11402,"Café,Japanese Restaurant"
1,Caffe Cittadella,49.26473,-123.116978,"Coffee Shop,Restaurant"
1,Milano Coffee,49.263724,-123.108701,"Coffee Shop,Restaurant"
1,Elysian Coffee Broadway,49.263077,-123.117243,"Coffee Shop,Restaurant"
1,Rogue Kitchen & Wetbar,49.263123,-123.117652,"Bar,Restaurant"
1,Aperture Coffee Bar,49.263292,-123.110529,"Café,Coffee Shop,Restaurant"
1,Vij's,49.257598,-123.114829,Indian Restaurant
1,Smith's Bagelry,49.263276,-123.108906,"Bagel Shop,Bakery,Restaurant"
1,33 Acres Brewing Co,49.263898,-123.10539,"Bar,Brewery,Restaurant"
1,Elysian Coffee,49.264531,-123.105038,"Café,Coffee Shop,Restaurant"
1,The Juice Truck,49.266384,-123.105358,Juice Bar
1,Modus Coffee,49.263182,-123.107195,"Café,Coffee Shop"
1,Cactus Club Cafe Broadway + Ash,49.263396,-123.117189,"American Restaurant,Mexican Restaurant,Seafood Restaurant"
1,Rain or Shine,49.255054,-123.114856,Ice Cream Parlor
1,Pure Bread,49.266631,-123.104568,"Bakery,Restaurant"
1,33 Brewing Experiment,49.26398,-123.105721,Brewery
1,The Federal Store,49.261909,-123.103193,"Café,Coffee Shop,Deli"
1,Sushi Dragon Japanese Restaurant,49.263134,-123.11814,Sushi Restaurant
1,R & B Brewing Inc,49.26727,-123.103568,"Brewery,Pizzeria"
1,The Cascade Room,49.261744,-123.100746,"Lounge,American Restaurant"
1,Potluck Hawker Eatery,49.254508,-123.114891,Malay Restaurant
1,Dynasty Seafood Restaurant 皇朝海鮮酒家,49.263675,-123.12143,Chinese Restaurant
1,Fable Diner,49.263042,-123.101505,"Diner,American Restaurant"
1,Nook,49.269521,-123.109276,Italian Restaurant
1,Faculty Brewing Co,49.268552,-123.104488,"Bar,Brewery,Restaurant"
1,Fox Cabaret,49.264298,-123.101206,"Movie Theater,Cocktail Bar,Lounge"
1,Dutch Wooden Shoe Cafe,49.255996,-123.114855,Diner
1,JJ Bean Coffee Roasters,49.270118,-123.109002,"Coffee Shop,Restaurant"
1,The Wicklow Pub,49.268648,-123.118691,"Pub,Sports Bar,Restaurant"
1,Banana Leaf,49.263207,-123.122445,Malay Restaurant
1,Tacofino Ocho,49.266286,-123.104296,Taco Restaurant
1,Argo Cafe,49.268608,-123.104493,"Café,Diner"
1,JJ Bean Coffee Roasters,49.255064,-123.115343,"Café,Coffee Shop"
1,Mahony & Sons,49.26908,-123.118647,"Pub,Restaurant"
1,Bao Down Gastropub + Raw Bar,49.2695,-123.107408,"Bar,Asian Restaurant"
1,The Flying Pig Olympic Village,49.269449,-123.107647,"American Restaurant,Comfort Food Restaurant"
1,Wendy's,49.263714,-123.114614,Fast Food Restaurant
1,Café Gloucester 告羅士打餐廳,49.25562,-123.114904,Chinese Restaurant
1,Pho Quynh Express,49.269438,-123.106267,Vietnamese Restaurant
1,Fatburger,49.263311,-123.110706,Restaurant
1,Starbucks,49.267226,-123.112973,Coffee Shop
1,Caffe Barney,49.262516,-123.10073,Diner
1,Tim Hortons,49.265791,-123.122584,"Cafe, Coffee, and Tea House,Restaurant"
1,Jollibee Broadway & Cambie,49.262886,-123.115361,Fried Chicken Joint
1,Mr. Japanese Curry,49.263756,-123.113732,Japanese Curry Restaurant
1,Seaport City Seafood Restaurant 海洋城,49.263746,-123.115921,Chinese Restaurant
1,Pokerrito,49.263693,-123.111699,Hawaiian Restaurant
1,Blenz Coffee,49.263421,-123.115731,"Café,Coffee Shop"
1,Shanghai Lu Restaurant,49.263608,-123.120046,Chinese Restaurant
1,A.Bento 飯匠,49.263051,-123.118701,Taiwanese Restaurant
4,Mister,49.27515,-123.121436,"Ice Cream Parlor,Restaurant"
4,The Flying Pig Yaletown,49.275181,-123.122007,Restaurant
4,Blue Water Cafe + Raw Bar,49.276123,-123.121114,Seafood Restaurant
4,MeeT in Yaletown,49.274991,-123.121909,Vegan and Vegetarian Restaurant
4,Small Victory Bakery,49.276391,-123.121299,"Bakery,Coffee Shop,Restaurant"
4,Angus T,49.275871,-123.119875,"Bakery,Restaurant"
4,Tacofino,49.276488,-123.119685,Taco Restaurant
4,The Parlour,49.276782,-123.120196,"Pizzeria,Italian Restaurant"
4,Matchstick Coffee Roasters,49.274363,-123.126073,"Café,Restaurant"
4,Nero Belgian Waffle Bar,49.278311,-123.122111,"Dessert Shop,Restaurant"
4,OEB Breakfast Co,49.273374,-123.119419,Dining and Drinking
4,Cactus Club Cafe Yaletown,49.275084,-123.122728,"American Restaurant,Mexican Restaurant"
4,The Keg Steakhouse + Bar - Yaletown,49.27671,-123.11946,Restaurant
4,Homer St. Cafe and Bar,49.278455,-123.11823,"Restaurant,Café"
4,Passione Gelato,49.275798,-123.113785,"Gelato Shop,Ice Cream Parlor,Restaurant"
4,Salsa & Agave Mexican Grill,49.274054,-123.122154,Mexican Restaurant
4,Cafe Medina,49.280498,-123.116863,"Café,Mediterranean Restaurant"
4,Fanny Bay Oyster Bar & Shellfish Market,49.278557,-123.114183,Seafood Restaurant
4,Breka Bakery & Cafe,49.278414,-123.12788,"Bakery,Café,Dessert Shop"
4,Pallet Coffee Roasters,49.279963,-123.123631,Coffee Shop
4,Honey Salt,49.275175,-123.11284,Restaurant
4,Hawksworth Restaurant,49.283302,-123.11938,Restaurant
4,Japadog,49.280189,-123.118297,"Hot Dog Joint,Japanese Restaurant"
4,Paramount Fine Foods,49.280385,-123.118638,Lebanese Restaurant
4,ZAC ZAC Japanese Curry House,49.280503,-123.118891,"Fast Food Restaurant,Japanese Curry Restaurant,Steakhouse"
4,Marutama Ramen,49.27848,-123.11588,Ramen Restaurant
4,Pacifico Pizzeria & Ristorante,49.2821,-123.123976,"Pizzeria,Italian Restaurant"
4,Boulevard Kitchen & Oyster Bar,49.283021,-123.123893,"French Restaurant,Seafood Restaurant,Steakhouse"
4,The Sandbar Seafood Restaurant,49.27216,-123.134158,"Lounge,Sushi Restaurant,Seafood Restaurant"
4,JOEY Burrard,49.282707,-123.123298,"New American Restaurant,Lounge"
4,Per Se Social Corner,49.27863,-123.118488,"Deli,Italian Restaurant,Tapas Restaurant"
4,Starbucks,49.274713,-123.122129,Coffee Shop
4,Two Parrots Taverna,49.276947,-123.126213,"Burger Joint,American Restaurant,Mexican Restaurant"
4,Elysian Coffee,49.279789,-123.127835,"Coffee Shop,Restaurant"
